waveform	[0]	[1]
t0	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000
delta t	0.001000	0.001000

time	Y[0]	Y[1]
12/31/1903  19:00:00.081000	-2.507997E+0	1.646193E+0
12/31/1903  19:00:00.082000	-2.422117E+0	1.770126E+0
12/31/1903  19:00:00.083000	-2.330119E+0	1.889588E+0
12/31/1903  19:00:00.084000	-2.232235E+0	2.004277E+0
12/31/1903  19:00:00.085000	-2.128712E+0	2.113903E+0
12/31/1903  19:00:00.086000	-2.019812E+0	2.218188E+0
12/31/1903  19:00:00.087000	-1.905809E+0	2.316871E+0
12/31/1903  19:00:00.088000	-1.786993E+0	2.409701E+0
12/31/1903  19:00:00.089000	-1.663662E+0	2.496443E+0
12/31/1903  19:00:00.090000	-1.536129E+0	2.576880E+0
12/31/1903  19:00:00.091000	-1.404715E+0	2.650807E+0
12/31/1903  19:00:00.092000	-1.269753E+0	2.718038E+0
12/31/1903  19:00:00.093000	-1.131583E+0	2.778402E+0
12/31/1903  19:00:00.094000	-9.905548E-1	2.831749E+0
12/31/1903  19:00:00.095000	-8.470244E-1	2.877942E+0
12/31/1903  19:00:00.096000	-7.013543E-1	2.916865E+0
12/31/1903  19:00:00.097000	-5.539126E-1	2.948420E+0
12/31/1903  19:00:00.098000	-4.050716E-1	2.972527E+0
12/31/1903  19:00:00.099000	-2.552074E-1	2.989125E+0
12/31/1903  19:00:00.100000	-1.046985E-1	2.998172E+0
12/31/1903  19:00:00.101000	4.607488E-2	2.999646E+0
12/31/1903  19:00:00.102000	1.967319E-1	2.993542E+0
12/31/1903  19:00:00.103000	3.468919E-1	2.979877E+0
12/31/1903  19:00:00.104000	4.961756E-1	2.958684E+0
12/31/1903  19:00:00.105000	6.442060E-1	2.930017E+0
12/31/1903  19:00:00.106000	7.906090E-1	2.893948E+0
12/31/1903  19:00:00.107000	9.350149E-1	2.850570E+0
12/31/1903  19:00:00.108000	1.077059E+0	2.799990E+0
12/31/1903  19:00:00.109000	1.216382E+0	2.742337E+0
12/31/1903  19:00:00.110000	1.352633E+0	2.677757E+0
12/31/1903  19:00:00.111000	1.485466E+0	2.606413E+0
12/31/1903  19:00:00.112000	1.614548E+0	2.528485E+0
12/31/1903  19:00:00.113000	1.739550E+0	2.444170E+0
12/31/1903  19:00:00.114000	1.860159E+0	2.353680E+0
12/31/1903  19:00:00.115000	1.976068E+0	2.257245E+0
12/31/1903  19:00:00.116000	2.086986E+0	2.155108E+0
12/31/1903  19:00:00.117000	2.192632E+0	2.047526E+0
12/31/1903  19:00:00.118000	2.292739E+0	1.934773E+0
12/31/1903  19:00:00.119000	2.387055E+0	1.817132E+0
12/31/1903  19:00:00.120000	2.475340E+0	1.694901E+0
12/31/1903  19:00:00.121000	2.557373E+0	1.568388E+0
12/31/1903  19:00:00.122000	2.632946E+0	1.437914E+0
12/31/1903  19:00:00.123000	2.701867E+0	1.303807E+0
12/31/1903  19:00:00.124000	2.763964E+0	1.166407E+0
12/31/1903  19:00:00.125000	2.819078E+0	1.026060E+0
